2019-01-16 13:01:37:319,Churchill Downs,Kit-Kat
2019-01-16 13:01:37:320,Churchill Downs,Cinnamon
2019-01-16 13:01:37:320,Churchill Downs,Roach
2019-01-16 13:01:37:321,Churchill Downs,Overdose
2019-01-16 13:01:37:322,Churchill Downs,Overdose
2019-01-16 13:01:37:323,Churchill Downs,Invincible
2019-01-16 13:01:37:323,Churchill Downs,Snowball
2019-01-16 13:01:37:324,Churchill Downs,Overdose
2019-01-16 13:01:37:325,Royal Bangkok,Invincible
2019-01-16 13:01:37:326,Royal Bangkok,Cinnamon
2019-01-16 13:01:37:326,Royal Bangkok,Cinnamon
2019-01-16 13:01:37:327,Royal Bangkok,Cinnamon
2019-01-16 13:01:37:328,Royal Bangkok,Demigod
2019-01-16 13:01:37:328,Royal Bangkok,Demigod
2019-01-16 13:01:37:329,Royal Bangkok,Pony
2019-01-16 13:01:37:335,Royal Bangkok,Overdose
2019-01-16 13:01:37:336,Royal Bangkok,Demigod
2019-01-16 13:01:37:337,Royal Bangkok,Cinnamon
2019-01-16 13:01:37:337,Royal Bangkok,Roach
2019-01-16 13:01:37:338,Royal Bangkok,Cinnamon
2019-01-16 13:01:37:339,Royal Bangkok,Cinnamon
2019-01-16 13:01:37:339,Royal Bangkok,Pony
2019-01-16 13:01:37:340,Royal Bangkok,Demigod
2019-01-16 13:01:37:340,Royal Bangkok,Cinnamon
2019-01-16 13:01:37:341,Royal Bangkok,Pony
2019-01-16 13:01:37:341,Royal Bangkok,Cinnamon
2019-01-16 13:01:37:342,Royal Bangkok,Roach
2019-01-16 13:01:37:342,Royal Bangkok,Cinnamon
2019-01-16 13:01:37:343,Royal Bangkok,Kit-Kat
2019-01-16 13:01:37:344,Royal Bangkok,Demigod
2019-01-16 13:01:37:344,Royal Bangkok,Invincible
2019-01-16 13:01:37:345,Royal Bangkok,Invincible
2019-01-16 13:01:37:346,Royal Bangkok,Snowball
2019-01-16 13:01:37:347,Bendigo,Snowball
2019-01-16 13:01:37:348,Bendigo,Demigod
2019-01-16 13:01:37:349,Bendigo,Pony
2019-01-16 13:01:37:350,Bendigo,Overdose
2019-01-16 13:01:37:350,Bendigo,Roach
2019-01-16 13:01:37:351,Bendigo,Invincible
